"ngay,""cong_dong"",""tong_cong"",""blockade"",""community"",""imported"",""new_deaths"",""new_recovered"",""new_cases"",""total_cases"",""total_deaths"",""total_recovered_12"",""quy_vc_ti_vnd"",""so_tien_quy_theo_ngay"",""bac"",""TRUNG"",""NAM"",""tong_bac"",""tong_trung"",""tong_nam"",""new_active"",""total_active"",""total_cases_2020"",""total_deaths_2020"",""total_recovered_2020_25"",""deaths_per_cases"",""deaths_1m_pop"",""cases_1m_pop"",""ma7_local_cases"",""ma7_recovered"",""ma7_deaths"",""city_by_day"",""mt7_local_cases"",""mt7_recovered"",""mt7_deaths"",""diff_mt7_local_cases (35)"",""diff_mt7_recovered"",""diff_mt7_deaths"",""per_mt7_local_cases"",""per_mt7_recovered"",""per_mt7_deaths"",""vaccine_doses_41"",""vaccine_dose_per_pop"",""total_cities"","""",""day_full"",""trung_binh_nhiem / 1_trieu_nguoi"",""trung_binh_tu_vong/1_trieu_nguoi"",""dan_so_vietnam"",""new_cases_am"",""new_cases_pm"",""ICU_52"",""ECMO"",""new_people_vaccined_53"",""percent_people_fully_vaccined_54"",""percent_people_only_partly_vaccined_55"",""percent_people_vaccined_56"",""ben_nhan_nang_dang_dieu_tri"",""tho_oxy_qua_mat_na"",""tho_oxy_dong_cao_HFNC"",""tho_may_ko_xam_lan"",""tho_may_xam_lan"",""Check"""
"27/4,""1"",""1"","""","""",""4"",""0"",""0"",""5"",""5"",""0"",""0"","""","""",""1"",""0"",""0"",""1"",""0"",""0"",""5"",""303"",""2854"",""35"",""2516"",""1,23%"",""0,4"",""30"","""","""","""",""1"","""","""","""","""","""","""","""","""","""",""318792"",""0,33%"",""1"","""",""2021/4/27"",""25802"",""547"",""96484000"","""","""","""","""","""",""0,0%"",""0,3%"",""0,3%"","""","""","""","""","""","""""
"28/4,""0"",""1"","""","""",""8"",""0"",""0"",""8"",""13"",""0"",""0"","""","""",""0"",""0"",""0"",""1"",""0"",""0"",""8"",""311"",""2862"",""35"",""2516"",""1,22%"",""0,4"",""30"","""","""","""",""0"","""","""","""","""","""","""","""","""","""",""425638"",""0,44%"",""1"","""",""2021/4/28"","""","""","""","""","""","""","""","""",""0,0%"",""0,4%"",""0,4%"","""","""","""","""","""","""""
"29/4,""6"",""7"","""","""",""39"",""0"",""0"",""45"",""58"",""0"",""0"","""","""",""5"",""0"",""1"",""6"",""0"",""1"",""45"",""356"",""2907"",""35"",""2516"",""1,20%"",""0,4"",""30"","""","""","""",""2"","""","""","""","""","""","""","""","""","""",""506435"",""0,52%"",""3"","""",""2021/4/29"","""","""","""","""","""","""","""","""",""0,0%"",""0,5%"",""0,5%"","""","""","""","""","""","""""
"30/4,""7"",""14"","""","""",""11"",""0"",""0"",""18"",""76"",""0"",""0"","""","""",""7"",""0"",""0"",""13"",""0"",""1"",""18"",""374"",""2925"",""35"",""2516"",""1,20%"",""0,4"",""30"","""","""","""",""3"","""","""","""","""","""","""","""","""","""",""519262"",""0,54%"",""5"","""",""2021/4/30"","""","""","""","""","""","""","""","""",""0,0%"",""0,5%"",""0,5%"","""","""","""","""","""","""""
"1/5,""3"",""17"","""","""",""11"",""0"",""32"",""14"",""90"",""0"",""32"","""","""",""3"",""0"",""0"",""16"",""0"",""1"",""-18"",""356"",""2939"",""35"",""2548"",""1,19%"",""0,4"",""30"","""","""","""",""1"","""","""","""","""","""","""","""","""","""",""519262"",""0,54%"",""5"","""",""2021/5/1"","""","""","""","""","""","""","""","""",""0,0%"",""0,5%"",""0,5%"","""","""","""","""","""","""""
"2/5,""8"",""25"","""","""",""12"",""0"",""1"",""20"",""110"",""0"",""33"","""","""",""8"",""0"",""0"",""24"",""0"",""1"",""19"",""375"",""2959"",""35"",""2549"",""1,18%"",""0,4"",""31"","""","""","""",""2"","""","""","""","""","""","""","""","""","""",""519262"",""0,54%"",""6"","""",""2021/5/2"","""","""","""","""","""","""","""","""",""0,0%"",""0,5%"",""0,5%"","""","""","""","""","""","""""
"3/5,""10"",""35"","""","""",""9"",""0"",""11"",""19"",""129"",""0"",""44"","""","""",""10"",""0"",""0"",""34"",""0"",""1"",""8"",""383"",""2978"",""35"",""2560"",""1,18%"",""0,4"",""31"",""5"",""6"",""0"",""2"",""129"",""44"",""0"","""","""","""","""","""","""",""519262"",""0,54%"",""6"","""",""2021/5/3"","""","""","""","""","""","""","""","""",""0,0%"",""0,5%"",""0,5%"","""","""","""","""","""","""""
"4/5,""3"",""38"","""","""",""12"",""0"",""0"",""15"",""144"",""0"",""44"","""","""",""1"",""2"",""0"",""35"",""2"",""1"",""15"",""398"",""2993"",""35"",""2560"",""1,17%"",""0,4"",""31"",""5"",""6"",""0"",""2"",""139"",""44"",""0"","""","""","""","""","""","""",""519262"",""0,54%"",""7"","""",""2021/5/4"","""","""","""","""","""","""","""","""",""0,0%"",""0,5%"",""0,5%"","""","""","""","""","""","""""
"5/5,""18"",""56"","""","""",""8"",""0"",""0"",""26"",""170"",""0"",""44"","""","""",""16"",""1"",""1"",""51"",""3"",""2"",""26"",""424"",""3019"",""35"",""2560"",""1,16%"",""0,4"",""31"",""8"",""6"",""0"",""4"",""157"",""44"",""0"","""","""","""","""","""","""",""519262"",""0,54%"",""10"","""",""2021/5/5"","""","""","""","""","""","""","""","""",""0,0%"",""0,5%"",""0,5%"","""","""","""","""","""","""""
"6/5,""64"",""120"","""","""",""4"",""0"",""0"",""68"",""238"",""0"",""44"","""","""",""60"",""4"",""0"",""111"",""7"",""2"",""68"",""492"",""3087"",""35"",""2560"",""1,13%"",""0,4"",""32"",""16"",""6"",""0"",""9"",""180"",""44"",""0"","""","""","""","""","""","""",""519262"",""0,54%"",""14"","""",""2021/5/6"","""","""","""","""","""","""","""","""",""0,0%"",""0,5%"",""0,5%"","""","""","""","""","""","""""
